strategy_name,entry_date,entry_price,entry_index,entry_position,exit_date,exit_price,holding_days,trade_return,max_adverse_return,max_favorable_return
ma_60_120,2020-10-22,27.43,679,1.0,2020-11-18,25.39,19,-0.07678847886885876,-0.08312067079839591,0.09405760116660589
ma_60_120,2020-11-19,25.76,699,1.0,2021-02-22,39.57,61,0.5321332690853646,0.006599378881987583,0.6649844720496894
ma_60_120,2021-02-23,37.58,761,1.0,2021-03-05,32.88,8,-0.12733860767924066,-0.12213943587014364,0.0031931878658861823
ma_60_120,2021-03-08,33.26,770,1.0,2021-05-25,38.3,52,0.1484752767514299,-0.1256764882742032,0.1876127480457006
ma_60_120,2021-06-11,42.88,835,1.0,2021-09-07,71.6,61,0.6654033082321535,-0.07905783582089554,0.7651585820895521
ma_60_120,2021-09-08,72.52,897,1.0,2021-09-30,62.31,14,-0.1430510685995975,-0.14547710976282402,0.010893546607832372
ma_60_120,2021-10-08,63.02,912,1.0,2021-11-25,65.64,34,0.03882999182423674,-0.05871152015233261,0.28133925737861
ma_60_120,2021-11-26,65.02,947,1.0,2022-01-06,57.63,28,-0.11595109917206592,-0.1008920332205474,0.12749923100584448
ma_60_120,2022-01-07,58.56,976,1.0,2022-01-27,59.37,14,0.01116972408399941,-0.06984289617486339,0.03944672131147531
ma_60_120,2022-07-20,67.05,1103,1.0,2022-09-22,69.18,45,0.029096422900922514,-0.016703952274421896,0.22759134973900075
ma_60_120,2022-09-23,70.16,1149,1.0,2022-11-29,63.58,42,-0.09614946581122508,-0.10276510832383112,0.08323831242873436
ma_60_120,2022-11-30,62.89,1192,1.0,2022-12-08,68.6,6,0.08797138092179657,-0.01383367785021461,0.09651772936873892
ma_60_120,2023-05-11,66.03,1298,1.0,2023-07-28,59.71,54,-0.09804933734813914,-0.0938967136150235,0.08799030743601399
ma_60_120,2023-07-31,60.75,1353,1.0,2023-08-11,59.11,9,-0.0295271184093866,-0.03703703703703709,-0.0036213991769546983
ma_60_120,2024-11-20,35.33,1669,1.0,2024-12-18,31.82,20,-0.10168094124024318,-0.10472686102462492,0.0
ma_60_120,2024-12-19,31.32,1690,1.0,2025-01-07,28.45,12,-0.09398535572071898,-0.08939974457215838,0.07375478927203072
ma_60_120,2025-01-08,28.65,1703,1.0,2025-03-10,32.87,37,0.14430032264548642,-0.04956369982547992,0.16369982547993045
ma_60_120,2025-09-11,34.06,1868,1.0,2025-10-20,38.35,21,0.12308683375709562,0.025836758661186066,0.39195537287140314
ma_60_120,2025-10-21,38.91,1890,1.0,2025-11-19,36.7,21,-0.0592230881416308,-0.08892315600102785,0.07761500899511709
ma_60_120,2025-11-20,35.83,1912,1.0,2026-02-13,52.05,59,0.44888608373140815,-0.06782026234998606,0.7320680993580799
ma_60_120,2026-02-24,52.15,1972,1.0,2026-03-09,46.53,9,-0.11009036773583036,-0.10853307766059439,0.0724832214765101
ma_60_120,2026-03-10,47.15,1982,1.0,2026-03-27,42.62,13,-0.09840879550875803,-0.08971367974549305,0.02396606574761395
ma_60_120,2026-03-30,42.65,1996,1.0,2026-06-02,47.98,42,0.12203065226996679,-0.059085580304806484,0.3294255568581479
momentum_20,2018-03-06,12.99,40,1.0,2018-05-21,15.97,50,0.22621179150746396,-0.012317167051578148,0.35950731331793695
momentum_20,2018-05-22,17.13,91,1.0,2018-05-28,14.49,4,-0.15633523492313217,-0.18739054290718038,-0.015761821366024442
momentum_20,2018-07-10,10.84,125,1.0,2018-07-12,10.89,2,0.0019672542835327267,-0.03321033210332103,0.08487084870848705
momentum_20,2018-07-13,11.98,128,1.0,2018-08-06,10.45,16,-0.129970931388533,-0.14858096828046752,0.08180300500834736
momentum_20,2018-09-04,10.16,165,1.0,2018-09-05,10.43,1,0.02392840850393707,0.030511811023621993,0.06791338582677153
momentum_20,2018-09-06,10.79,167,1.0,2018-09-11,10.86,3,0.0038794508258590543,-0.000926784059314123,0.03707136237256714
momentum_20,2018-09-13,11.09,172,1.0,2018-09-17,9.29,2,-0.1644918795089031,-0.19837691614066721,-0.009017132551848439
momentum_20,2018-11-06,8.5,204,1.0,2018-11-26,7.77,14,-0.08827174686415573,-0.10941176470588232,0.08235294117647052
momentum_20,2018-11-27,7.72,219,1.0,2018-12-03,8.35,4,0.07878196116171243,-0.016839378238341918,0.0841968911917097
momentum_20,2018-12-06,8.54,226,1.0,2018-12-11,8.6,3,0.004433589668968008,-0.003512880562060783,0.02927400468384067
momentum_20,2018-12-24,7.87,238,1.0,2018-12-27,8.31,3,0.05321504246223374,0.0,0.08259212198221078
momentum_20,2018-12-28,7.89,242,1.0,2019-01-02,7.72,1,-0.024106037820025406,-0.05069708491761715,-0.02281368821292773
momentum_20,2019-01-31,8.03,264,1.0,2019-03-27,11.91,34,0.4793668717749129,0.0,0.742216687422167
momentum_20,2019-03-28,11.66,299,1.0,2019-04-03,12.44,4,0.06412443602246287,-0.011149228130360234,0.08662092624356776
momentum_20,2019-06-04,10.13,343,1.0,2019-06-10,9.71,3,-0.04395792113753072,-0.04837117472852914,0.005923000987166693
momentum_20,2019-06-12,10.2,348,1.0,2019-07-09,9.62,19,-0.05929412159334824,-0.05490196078431364,0.07156862745098036
momentum_20,2019-07-15,9.65,371,1.0,2019-07-18,9.86,3,0.019140580234318305,0.0010362694300518616,0.04352331606217619
momentum_20,2019-07-31,10.85,383,1.0,2019-09-18,11.25,34,0.03418254777070118,-0.04608294930875578,0.1566820276497698
momentum_20,2019-09-24,12.28,421,1.0,2019-10-29,12.14,20,-0.013965111540122588,-0.032573289902280034,0.09283387622149841
momentum_20,2019-10-30,12.33,442,1.0,2019-11-04,12.76,3,0.032208551645815486,0.012976480129764711,0.03244120032441211
momentum_20,2019-11-06,13.02,447,1.0,2019-11-07,12.79,1,-0.020231893333333417,-0.009984639016897057,0.0
momentum_20,2019-11-15,12.91,454,1.0,2019-11-22,11.84,5,-0.08529112481187817,-0.11386522075910155,-0.031758326878388865
momentum_20,2019-12-17,12.66,476,1.0,2020-02-04,15.59,28,0.22825066418393924,-0.03633491311216441,0.5039494470774091
momentum_20,2020-02-05,17.14,505,1.0,2020-03-02,22.46,18,0.30696759552465314,0.008751458576429227,0.5460910151691949
momentum_20,2020-03-03,22.4,524,1.0,2020-03-10,19.53,5,-0.13043037673666835,-0.13794642857142858,-0.02678571428571419
momentum_20,2020-03-11,20.94,530,1.0,2020-03-12,19.19,1,-0.08602024099331429,-0.0725883476599809,-0.05539637058261704
momentum_20,2020-03-13,18.51,532,1.0,2020-03-19,21.2,4,0.14247379535386262,0.10264721772015117,0.23500810372771452
momentum_20,2020-04-23,18.93,560,1.0,2020-04-24,17.93,1,-0.055329674632857984,-0.0581088219757,-0.04437400950871628
momentum_20,2020-04-29,19.2,564,1.0,2020-06-01,19.39,20,0.007306517176133509,-0.01041666666666663,0.1546875000000001
momentum_20,2020-06-02,20.49,585,1.0,2020-06-03,20.55,1,0.00032442682284061775,-0.01512933138116146,0.007320644216691097
momentum_20,2020-06-22,20.73,599,1.0,2020-07-17,22.31,17,0.07345908362364151,0.040038591413410485,0.3111432706222865
momentum_20,2020-07-20,21.98,617,1.0,2020-07-27,21.39,5,-0.029351077369711542,-0.032302092811646976,0.05050045495905375
momentum_20,2020-07-30,23.07,625,1.0,2020-07-31,22.33,1,-0.034617112232336544,-0.0273081924577373,-0.015171218032076328
momentum_20,2020-08-17,23.54,637,1.0,2020-08-20,22.01,3,-0.06743733986031353,-0.086661002548853,-0.01486830926083249
momentum_20,2020-08-24,21.91,642,1.0,2020-08-27,22.22,3,0.011569221400238083,0.003651300775901367,0.10771337288909177
momentum_20,2020-08-28,24.58,646,1.0,2020-09-04,22.69,5,-0.07927785999174275,-0.058584214808787505,0.011798209926769943
momentum_20,2020-09-07,24.34,652,1.0,2020-10-21,28.63,26,0.1732172732579611,-0.0279375513557929,0.32744453574363197
momentum_20,2020-11-03,28.08,687,1.0,2020-11-04,27.97,1,-0.006508887635327643,-0.043091168091167975,-0.005698005698005604
momentum_20,2020-11-06,28.79,690,1.0,2020-11-09,28.09,1,-0.026868792719694334,-0.028829454671761012,0.03230288294546724
momentum_20,2020-11-23,27.03,701,1.0,2020-11-26,26.48,3,-0.022900749994631653,-0.02219755826859049,0.006659267480577213
momentum_20,2020-12-03,28.07,709,1.0,2020-12-04,27.56,1,-0.020734719600997598,-0.01353758460990373,-0.012112575703598139
momentum_20,2020-12-11,28.22,715,1.0,2020-12-14,27.55,1,-0.026297851282778173,-0.04216867469879515,0.0226789510985117
momentum_20,2020-12-15,28.58,717,1.0,2021-02-25,36.86,46,0.2863797454687118,-0.024142757172848084,0.5006997900629813
momentum_20,2021-04-07,32.99,791,1.0,2021-04-12,30.75,3,-0.07035496277108788,-0.11367080933616258,-0.040012124886329214
momentum_20,2021-04-15,29.39,797,1.0,2021-07-15,48.87,61,0.658519594912077,0.023137121469887667,0.7427696495406599
momentum_20,2021-07-16,50.48,859,1.0,2021-09-28,64.74,50,0.27912240084890105,-0.02852614896988903,0.499405705229794
momentum_20,2021-10-18,71.57,918,1.0,2021-11-16,72.62,21,0.012068115537102297,-0.0006986167388570719,0.12826603325415697
momentum_20,2021-11-23,73.83,944,1.0,2021-11-24,67.72,1,-0.08520728274143308,-0.10659623459298395,-0.06189895706352422
