factor,year,ic,rank_ic,count
log_ret_3d,2021.0,-0.001256049032687012,0.030318920284146313,243.0
log_ret_3d,2022.0,-0.16564513084347024,-0.10803157100151947,242.0
log_ret_3d,2023.0,0.029099824026825132,0.09732980926241332,242.0
log_ret_3d,2024.0,-0.049642539726462424,-0.09888314785457965,242.0
log_ret_3d,2025.0,-0.10315806751083645,-0.16009741394738908,243.0
log_ret_3d,2026.0,-0.165382073354258,-0.0745450241952451,97.0
ret_5d,2018.0,0.052941716924017106,-0.009524949751561752,238.0
ret_5d,2019.0,-0.06313940171801104,-0.12406560681346006,244.0
ret_5d,2020.0,-0.215818888689695,-0.20831932506050735,243.0
ret_5d,2021.0,-0.0011736437121437693,0.03715328479362259,243.0
ret_5d,2022.0,-0.16046721641803138,-0.0815409216012762,242.0
ret_5d,2023.0,0.08098028936928829,0.13397015547147573,242.0
ret_5d,2024.0,-0.1251636960296863,-0.13558872838732622,242.0
ret_5d,2025.0,-0.1493396266095696,-0.17191203306454175,243.0
ret_5d,2026.0,-0.12338061419871066,-0.07558384178413632,97.0
log_ret_5d,2018.0,0.054578657281489557,-0.009524949751561752,238.0
log_ret_5d,2019.0,-0.0736220863932051,-0.12406560681346006,244.0
log_ret_5d,2020.0,-0.1993789116386313,-0.20831932506050735,243.0
log_ret_5d,2021.0,0.003996387989630599,0.03715328479362259,243.0
log_ret_5d,2022.0,-0.16575157893591722,-0.0815409216012762,242.0
log_ret_5d,2023.0,0.08215177208407533,0.13397015547147573,242.0
log_ret_5d,2024.0,-0.11751095667779686,-0.13558872838732622,242.0
log_ret_5d,2025.0,-0.1467439986028942,-0.17191203306454175,243.0
log_ret_5d,2026.0,-0.11467498644077721,-0.07558384178413632,97.0
ret_10d,2018.0,0.1190810379762608,0.1035313593581463,233.0
ret_10d,2019.0,0.02378751695946422,-0.023650509409090914,244.0
ret_10d,2020.0,-0.18687153977398005,-0.14071581855983248,243.0
ret_10d,2021.0,-0.025841707156141265,-0.003540120529688339,243.0
ret_10d,2022.0,-0.12477023953095179,-0.1147672711862326,242.0
ret_10d,2023.0,-0.0682674800557876,-0.05738385942154804,242.0
ret_10d,2024.0,-0.051530356079861665,-0.13860388930672754,242.0
ret_10d,2025.0,-0.013732786457961712,-0.02800149198559531,243.0
ret_10d,2026.0,0.02206580091561513,0.10365821586366504,97.0
log_ret_10d,2018.0,0.1127296723088431,0.1035313593581463,233.0
log_ret_10d,2019.0,0.010007289521510315,-0.023650509409090914,244.0
log_ret_10d,2020.0,-0.17358164488764474,-0.14071581855983248,243.0
log_ret_10d,2021.0,-0.014941352958571411,-0.003540120529688339,243.0
log_ret_10d,2022.0,-0.12857352482381293,-0.1147672711862326,242.0
log_ret_10d,2023.0,-0.06940028259225861,-0.05738385942154804,242.0
