split,horizon,test_start,test_end,observations,spearman_ic,direction_accuracy,prob_accuracy
12,60,2023-12-20,2024-03-26,63,0.4749903993855607,0.5396825396825397,0.6666666666666666
13,1,2024-03-27,2024-07-01,63,0.16469854070660522,0.5238095238095238,0.5555555555555556
13,3,2024-03-27,2024-07-01,63,0.17636328725038403,0.5555555555555556,0.5079365079365079
13,5,2024-03-27,2024-07-01,63,0.2628648233486943,0.4126984126984127,0.36507936507936506
13,10,2024-03-27,2024-07-01,63,0.42285906298003073,0.6031746031746031,0.6825396825396826
13,20,2024-03-27,2024-07-01,63,0.5125288018433181,0.6349206349206349,0.7619047619047619
13,60,2024-03-27,2024-07-01,63,0.6294642857142858,0.4444444444444444,0.7619047619047619
14,1,2024-07-02,2024-09-30,63,-0.26118471582181263,0.36507936507936506,0.3968253968253968
14,3,2024-07-02,2024-09-30,63,-0.1983966973886329,0.36507936507936506,0.5079365079365079
14,5,2024-07-02,2024-09-30,63,-0.26329685099846395,0.38095238095238093,0.47619047619047616
14,10,2024-07-02,2024-09-30,63,0.0715725806451613,0.5714285714285714,0.6190476190476191
14,20,2024-07-02,2024-09-30,63,0.36501536098310294,0.3968253968253968,0.5238095238095238
14,60,2024-07-02,2024-09-30,63,0.44076420890937024,0.9206349206349206,0.2857142857142857
15,1,2024-10-08,2025-01-03,63,0.019681259600614436,0.5079365079365079,0.5396825396825397
15,3,2024-10-08,2025-01-03,63,0.17127496159754227,0.6031746031746031,0.6031746031746031
15,5,2024-10-08,2025-01-03,63,0.42264812128765084,0.6825396825396826,0.6190476190476191
15,10,2024-10-08,2025-01-03,63,0.47201420890937024,0.6031746031746031,0.6190476190476191
15,20,2024-10-08,2025-01-03,63,0.48439900153609833,0.7936507936507936,0.8412698412698413
15,60,2024-10-08,2025-01-03,63,0.7349270353302613,0.746031746031746,0.7619047619047619
16,1,2025-01-06,2025-04-11,63,0.11487135176651306,0.5079365079365079,0.5714285714285714
16,3,2025-01-06,2025-04-11,63,0.34375,0.6666666666666666,0.6190476190476191
16,5,2025-01-06,2025-04-11,63,0.23478302611367133,0.6190476190476191,0.5714285714285714
16,10,2025-01-06,2025-04-11,63,-0.11223118279569892,0.6031746031746031,0.49206349206349204
16,20,2025-01-06,2025-04-11,63,-0.22796658986175114,0.6507936507936508,0.36507936507936506
16,60,2025-01-06,2025-04-11,63,0.5121447772657449,0.4444444444444444,0.5873015873015873
17,1,2025-04-14,2025-07-15,63,0.07848502304147466,0.5079365079365079,0.5396825396825397
17,3,2025-04-14,2025-07-15,63,0.057315668202764986,0.5714285714285714,0.5714285714285714
17,5,2025-04-14,2025-07-15,63,0.2277745775729647,0.5555555555555556,0.47619047619047616
17,10,2025-04-14,2025-07-15,63,0.41887480798771126,0.47619047619047616,0.49206349206349204
17,20,2025-04-14,2025-07-15,63,0.2480798771121352,0.5079365079365079,0.38095238095238093
17,60,2025-04-14,2025-07-15,63,0.465965821812596,0.6349206349206349,0.4126984126984127
18,1,2025-07-16,2025-10-20,63,0.19297235023041479,0.5396825396825397,0.49206349206349204
18,3,2025-07-16,2025-10-20,63,0.35743087557603687,0.6031746031746031,0.4603174603174603
18,5,2025-07-16,2025-10-20,63,0.4069220430107527,0.5714285714285714,0.5079365079365079
18,10,2025-07-16,2025-10-20,63,0.5485311059907835,0.6349206349206349,0.5079365079365079
18,20,2025-07-16,2025-10-20,63,0.5656201996927803,0.8571428571428571,0.5238095238095238
18,60,2025-07-16,2025-10-20,63,0.7572964669738864,0.8412698412698413,0.6984126984126984
19,1,2025-10-21,2026-01-19,63,0.21702188940092168,0.6190476190476191,0.5873015873015873
19,3,2025-10-21,2026-01-19,63,0.33501344086021506,0.6507936507936508,0.6666666666666666
19,5,2025-10-21,2026-01-19,63,0.38407258064516125,0.6507936507936508,0.7142857142857143
19,10,2025-10-21,2026-01-19,63,0.5544834869431644,0.7142857142857143,0.6666666666666666
19,20,2025-10-21,2026-01-19,63,0.726718509984639,0.6666666666666666,0.7619047619047619
19,60,2025-10-21,2026-01-19,63,0.6008544546850999,0.6031746031746031,0.38095238095238093
20,1,2026-01-20,2026-04-27,63,0.04133064516129033,0.5079365079365079,0.4603174603174603
20,3,2026-01-20,2026-04-27,63,0.3386136712749616,0.6349206349206349,0.6349206349206349
20,5,2026-01-20,2026-04-27,63,0.4895353302611367,0.6507936507936508,0.6349206349206349
20,10,2026-01-20,2026-04-27,63,0.31394009216589863,0.5714285714285714,0.38095238095238093
20,20,2026-01-20,2026-04-27,63,-0.0024481566820276496,0.5873015873015873,0.6190476190476191
20,60,2026-01-20,2026-04-27,31,0.4008064516129033,0.6129032258064516,0.6129032258064516
21,1,2026-04-28,2026-06-09,27,-0.18376068376068375,0.4444444444444444,0.4444444444444444
21,3,2026-04-28,2026-06-09,25,-0.27615384615384614,0.28,0.28
21,5,2026-04-28,2026-06-09,23,-0.2440711462450593,0.34782608695652173,0.34782608695652173
21,10,2026-04-28,2026-06-09,18,-0.08359133126934985,0.3888888888888889,0.4444444444444444
21,20,2026-04-28,2026-06-09,8,0.8571428571428572,0.25,0.125
