factor,quantile,mean_return,median_return,count
dist_to_high_120d,2.0,0.00248909395005851,-0.005603217723457692,384.0
dist_to_high_120d,3.0,0.0008718973087357126,0.003711956749139878,383.0
dist_to_high_120d,4.0,0.0012906361548442951,-0.006717637956566408,384.0
dist_to_high_120d,5.0,0.0062395521232208075,-0.0007554840524571657,384.0
dist_to_low_120d,1.0,-0.0022359716439239743,-0.009274298500784194,384.0
dist_to_low_120d,2.0,0.0053885130070145575,0.00022115617796984155,384.0
dist_to_low_120d,3.0,0.014697718889949847,0.016027335907038694,383.0
dist_to_low_120d,4.0,0.011337580561221564,0.007301843569037812,384.0
dist_to_low_120d,5.0,-0.0092210901093766,-0.016732241381602862,384.0
macd_dif,1.0,0.011386869683284687,0.005255136656488168,408.0
macd_dif,2.0,-0.000523490585526607,-0.0016529062331824647,408.0
macd_dif,3.0,-0.007199321353463039,-0.005431843882361729,407.0
macd_dif,4.0,0.006661319213317625,0.0051831409003199845,408.0
macd_dif,5.0,0.005346777436862078,-0.004229478366061707,408.0
macd_dea,1.0,0.010854310043339864,0.0032069730911207447,408.0
macd_dea,2.0,-0.0013939452624057319,0.0010294055464432985,408.0
macd_dea,3.0,-0.0058207883898988835,-0.006325131776968814,407.0
macd_dea,4.0,0.008223845938095315,0.0032517584604102113,408.0
macd_dea,5.0,0.003812110822607818,-0.004577052163927842,408.0
macd_hist,1.0,-0.0012440847477532514,-0.006336711043209971,408.0
macd_hist,2.0,-0.008135127335106438,-0.003205297688562079,408.0
macd_hist,3.0,0.010713205302690158,0.00865806274311431,407.0
macd_hist,4.0,0.013999973822779987,0.005925241534919509,408.0
macd_hist,5.0,0.0003820906034725092,-0.003934715139235823,408.0
kdj_k,1.0,0.0011590804657076992,0.0009483168088594818,407.0
kdj_k,2.0,0.0013430707852256263,-0.006380752572082199,406.0
kdj_k,3.0,0.013425928369942407,0.011998530758419074,406.0
kdj_k,4.0,0.004092059845399775,0.0012655023761762706,406.0
kdj_k,5.0,-0.0031155548748937703,-0.00609336042376738,406.0
kdj_d,1.0,0.003551264356464439,-0.0013245035048906318,407.0
kdj_d,2.0,3.694617351739801e-05,-0.0035878037578750722,406.0
kdj_d,3.0,0.005242834651802445,0.008438014230682292,406.0
kdj_d,4.0,0.005676058474464056,0.0020812355883318328,406.0
kdj_d,5.0,0.002391588856584738,-0.00484688983265765,406.0
kdj_j,1.0,0.0015806639075585313,0.0,407.0
kdj_j,2.0,0.0038835051008279295,-0.0020165501061589902,406.0
kdj_j,3.0,0.012621617985208756,0.006410909886166104,406.0
kdj_j,4.0,0.0033337502230062622,0.005045607869736053,406.0
kdj_j,5.0,-0.004515991008081443,-0.006678967800154378,406.0
adx_14d,1.0,-0.005232596294798266,-0.011475651896225264,403.0
adx_14d,2.0,-0.002737668126823087,-0.008255204615534344,402.0
adx_14d,3.0,0.002772046537874308,0.006829376089697718,403.0
adx_14d,4.0,0.017987669460975027,0.01583903536326254,402.0
adx_14d,5.0,0.007340532569384814,-0.003911544027436903,403.0
rsi_6d,1.0,0.004846491098246716,0.0035691899286097195,402.0
rsi_6d,2.0,0.003038631682255957,0.0009170106098814064,401.0
rsi_6d,3.0,0.00881735211025585,0.0021563478934196753,402.0
rsi_6d,4.0,0.005261415210281537,0.001154068218106624,401.0
rsi_6d,5.0,-0.001553190358348335,-0.004275757344420036,402.0
rsi_14d,1.0,-0.0010935588292394622,-0.002860322941708141,405.0
rsi_14d,2.0,0.0007544825746423146,0.0034084486700018592,405.0
rsi_14d,3.0,0.00675500746264055,-0.003049247674419386,405.0
rsi_14d,4.0,0.012854161723710105,0.00939212387017931,405.0
rsi_14d,5.0,-0.003291039590876009,-0.0059835631029697585,405.0
boll_pos_20d,1.0,0.0014423860798717582,0.002372383480647749,404.0
boll_pos_20d,2.0,0.0027569174881099372,-0.003983373679064898,404.0
boll_pos_20d,3.0,0.0044151682394253785,0.0009440643190701063,404.0
boll_pos_20d,4.0,0.008032541237652433,0.005734406478809934,404.0
boll_pos_20d,5.0,0.0015851765933427083,-0.004005859898893365,404.0
close_zscore_20d,1.0,0.0014423860798717582,0.002372383480647749,404.0
close_zscore_20d,2.0,0.0027569174881099372,-0.003983373679064898,404.0
close_zscore_20d,3.0,0.0044151682394253785,0.0009440643190701063,404.0
close_zscore_20d,4.0,0.008032541237652433,0.005734406478809934,404.0
close_zscore_20d,5.0,0.0015851765933427083,-0.004005859898893365,404.0
close_zscore_60d,1.0,0.004833597543769134,0.0019369878301715821,396.0
close_zscore_60d,2.0,0.011302300212076939,0.010679950963020608,396.0
close_zscore_60d,3.0,-0.012157542612433674,-0.014194093963482299,396.0
close_zscore_60d,4.0,0.003816231278787154,0.0002978801215213643,396.0
close_zscore_60d,5.0,0.0068609610617693315,-0.0009846571911512236,396.0
volume_ratio_5d,1.0,0.005343458598714127,0.0011104942840271153,407.0
volume_ratio_5d,2.0,-0.0008333648932803633,-0.005527930052513054,407.0
volume_ratio_5d,3.0,0.007131993561311158,0.00013693940452773757,407.0
volume_ratio_5d,4.0,0.0037449098649639384,0.005681833467430864,407.0
volume_ratio_5d,5.0,0.0014096315562209534,0.001154068218106624,407.0
amount_ratio_5d,1.0,0.006056425576801308,0.000944287133433864,407.0
amount_ratio_5d,2.0,-0.0017733391359024808,-0.004073325387635786,407.0
amount_ratio_5d,3.0,0.009431009632050366,0.0039636490080045715,407.0
amount_ratio_5d,4.0,0.003318266295638112,0.003711956749139878,407.0
amount_ratio_5d,5.0,-0.00023573368065749268,-0.00043830813763299457,407.0
volume_ratio_20d,1.0,-0.0005103168827868903,-0.004047674970076351,404.0
