portfolio,total_return,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,win_rate,profit_loss_ratio,trade_count,avg_holding_days,turnover,single_period_max_loss,max_consecutive_losses,excess_total_return,excess_vs_buy_hold,strategy_name,kind,fast,slow,window,risk_filter,buy_hold_total_return,beats_buy_hold
strategy,3.2104577437310615,0.19391142210651213,0.4334089634441263,0.44740981027613325,0.5654934042057564,0.32573515715882895,-0.5953039389357675,0.4800332778702163,1.2472809138191325,89.0,25.866666666666667,89.0,-0.16675690308608548,8.0,-0.6199751552492192,0.8989823338949798,ma_10_250_gap_risk,ma,10.0,250.0,,gap_risk,2.3114754098360817,True
strategy,2.709492776063322,0.17541022012706353,0.41597503542077213,0.42168448870887276,0.5115842935860331,0.3246459737366647,-0.540312322706786,0.4799651567944251,1.2421308531344726,79.0,27.9,79.0,-0.16675690308608548,9.0,-0.7037013825710214,0.3980173662272404,ma_60_180_limit_tradable,ma,60.0,180.0,,limit_tradable,2.3114754098360817,True
strategy,2.4402259128711865,0.16454039320464942,0.4214343258861593,0.3904295001567959,0.46938639063828574,0.3220715174883244,-0.5108815411180042,0.48034515819750717,1.2424128517887618,75.0,26.657894736842106,75.0,-0.16675690308608548,9.0,-0.7145473308861666,0.12875050303510482,ma_30_120_none,ma,30.0,120.0,,none,2.3114754098360817,True
strategy,2.554801789105247,0.1692536834481404,0.4250406458419873,0.39820587772930777,0.48429471413363084,0.31769655643972255,-0.5327526534907638,0.479108635097493,1.2487836857389334,77.0,26.794871794871796,77.0,-0.16675690308608548,10.0,-0.6975551281863339,0.24332637926916512,ma_20_120_none,ma,20.0,120.0,,none,2.3114754098360817,True
strategy,2.6349919193635185,0.17247384927041187,0.35617945490607417,0.4842330092169237,0.5540590672102463,0.3159363355757633,-0.5459133054642007,0.4786150712830957,1.2694434957357998,84.0,22.5,84.0,-0.11015806886410973,11.0,-0.8007784094062358,0.3235165095274368,ma_60_180_vol_pct_lt_80,ma,60.0,180.0,,vol_pct_lt_80,2.3114754098360817,True
strategy,2.4098499176905728,0.16326775553833595,0.4258273318933829,0.3834130486936765,0.4703100152319681,0.3084942668382985,-0.5292408095995994,0.4724264705882353,1.279019845031517,95.0,21.8125,95.0,-0.16675690308608548,9.0,-0.7083985885628684,0.09837450785449109,ma_5_120_limit_tradable,ma,5.0,120.0,,limit_tradable,2.3114754098360817,True
strategy,2.38952702710721,0.16241074342310058,0.4171683769338734,0.38931700580181994,0.47043274544901814,0.30058678397241895,-0.540312322706786,0.4799651567944251,1.2343793288226876,77.0,28.641025641025642,77.0,-0.16675690308608548,9.0,-0.7271496376291589,0.0780516172711283,ma_60_180_none,ma,60.0,180.0,,none,2.3114754098360817,True
strategy,2.554770818557192,0.16925242752357472,0.4244136898646198,0.3987911595819709,0.4916129740941577,0.2935094124240103,-0.5766507660717499,0.4787510841283608,1.2426313821403372,81.0,27.317073170731707,81.0,-0.16675690308608548,9.0,-0.6992142936513372,0.2432954087211101,ma_30_180_limit_tradable,ma,30.0,180.0,,limit_tradable,2.3114754098360817,True
strategy,2.677195818299069,0.17414367808101328,0.4150771553421382,0.41954532028502217,0.5153687361638802,0.28541811498898984,-0.6101353380731667,0.4804088586030664,1.2374529505973855,75.0,30.07894736842105,75.0,-0.16675690308608548,9.0,-0.7080636183406156,0.3657204084629875,ma_60_250_limit_tradable,ma,60.0,250.0,,limit_tradable,2.3114754098360817,True
strategy,2.893888554455796,0.18246149906722153,0.4491540767431005,0.4062336479060453,0.5143879222267658,0.28123194461719353,-0.6487936472351459,0.4420866489832007,1.4629002157219777,208.0,9.951923076923077,208.0,-0.16675690308608548,9.0,-0.6031367387717766,0.5824131446197143,momentum_20_gap_risk,momentum,,,20.0,gap_risk,2.3114754098360817,True
