factor,horizon,observations,coverage_rate,missing_rate,pearson_ic,spearman_ic,rolling_rank_ic_mean,rolling_rank_ic_std,icir,prediction_score,stability_score,monotonicity_score,non_redundancy_score,low_turnover_score,explainability_score,factor_score,suitable_for_model,overfit_risk
amount_chg_5d,5,2034,0.9951076320939335,0.004892367906066508,-0.03147716811908985,-0.057020428354562495,-0.0517305326868904,0.10002122852514783,-0.5171955338849298,0.7127553544320312,0.8888888888888888,0.7,0.04281066649391796,0.4709960711809569,0.9,0.6401255911995705,True,medium
short_reversal_5d,5,2034,0.9951076320939335,0.004892367906066508,0.06591833499840434,0.06070621962536197,0.08363772052894522,0.07596165758996327,1.1010518093275017,0.7588277453170246,0.8888888888888888,0.7,0.0,0.5941690962099125,0.7,0.6398430109938763,True,medium
log_ret_5d,5,2034,0.9951076320939335,0.004892367906066508,-0.0599563509583891,-0.06070621962536197,-0.08363772052894518,0.07596165758996319,-1.1010518093275024,0.7588277453170246,0.8888888888888888,0.7,0.0,0.5941690962099125,0.7,0.6398430109938763,True,medium
turnover_ratio_20d,5,2020,0.9882583170254403,0.011741682974559686,0.03761596051424559,0.04535977853537025,0.050587272956467526,0.10067213050471319,0.502495305332782,0.5669972316921281,0.8888888888888888,0.9999999999999999,0.0005185801564061565,0.49377897048060504,0.9,0.6373326313569375,True,medium
amount_ratio_60d,5,1980,0.9686888454011742,0.03131115459882583,0.021366463332714775,0.046574692402933646,0.05187885854746257,0.09611645842427392,0.5397500011752484,0.5821836550366706,0.8333333333333333,0.8999999999999998,0.03012869613171787,0.5859421145894862,0.9,0.6294352790563741,True,medium
max_drawdown_10d,5,2030,0.9931506849315068,0.006849315068493178,-0.03834890869365446,-0.050322578618465945,-0.057624855489251364,0.0757178942230597,-0.7610467258834814,0.6290322327308243,0.7777777777777778,0.49999999999999994,0.22944789745073246,0.7722095671981777,0.9,0.6209033667122305,True,low
atr_pct_14d,5,2026,0.9911937377690803,0.008806262230919737,0.04613285733093692,0.05973218215746475,0.03561049725502532,0.13543557193654499,0.2629331182778904,0.7466522769683094,0.4851553405001126,0.7,0.10748918657351203,0.8686350021394951,0.9,0.6190136293904916,True,high
ret_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.10113212681688041,-0.0541299291236547,-0.12686749692123941,0.09970417942191546,-1.2724391059313338,0.6766241140456837,0.9444444444444444,0.3,0.0,0.8434708634623564,0.9,0.6112232094488296,True,medium
volume_ratio_20d,5,2020,0.9882583170254403,0.011741682974559686,0.03110484074633896,0.04234683685200535,0.049589638328718225,0.1004725535188087,0.4935640291000958,0.5293354606500669,0.826897362433429,0.8999999999999998,0.0005185801564061565,0.4930572472594397,0.9,0.5985636224311107,True,medium
log_ret_60d,5,1979,0.9681996086105675,0.03180039138943247,-0.08730383308291353,-0.0541299291236547,-0.12686749692123941,0.09970417942191546,-1.2724391059313338,0.6766241140456837,0.9444444444444444,0.3,0.0,0.8434708634623564,0.7,0.5912232094488296,True,medium
price_volume_divergence_20d,5,2019,0.9877690802348337,0.012230919765166326,-0.03269542686145448,-0.04741891964160925,-0.04870076755605668,0.08539964911410863,-0.5702689421005005,0.5927364955201156,0.8333333333333333,0.09999999999999999,0.4252766592099423,0.8233618233618234,0.7,0.575615296540375,True,high
ma_gap_10d,5,2030,0.9931506849315068,0.006849315068493178,-0.042207630672758095,-0.0323147122336203,-0.06934428885012404,0.05910688430892761,-1.1732015595288308,0.4039339029202537,0.8333333333333333,0.7999999999999999,0.08561738165866384,0.627003699136868,0.9,0.5733898147052292,True,medium
ret_3d,5,2036,0.9960861056751468,0.003913894324853229,-0.04988214599851745,-0.050190273216762546,-0.07796935709423024,0.05967405738811257,-1.3065871587569007,0.6273784152095319,0.8333333333333333,0.49999999999999994,0.0,0.5345911949685535,0.9,0.5733393107263814,True,medium
volatility_10d,5,2029,0.9926614481409002,0.007338551859099818,0.07107386181589614,0.057256728887350436,0.01481110689484828,0.10513930214419133,0.14087126880998188,0.7157091110918804,0.47420460214331517,0.6,0.0,0.7975676735974891,0.9,0.569310421115976,True,medium
ma_slope_60d,5,1961,0.9593933463796478,0.04060665362035221,-0.0714713963945431,-0.041256507207177044,-0.11950823601319402,0.10613016459802821,-1.126053431329686,0.5157063400897131,0.8888888888888888,0.19999999999999998,0.13597105501788065,0.9501934235976789,0.9,0.5679046804171416,True,high
momentum_accel_20_60,5,1979,0.9681996086105675,0.03180039138943247,0.05471309767923257,0.04430824957659581,-0.015158650789006944,0.14569702656997444,-0.10404227969420257,0.5538531197074475,0.38182005747198033,0.9999999999999999,0.19076027554724895,0.7568702290076336,0.7,0.566821011639481,True,medium
max_drawdown_60d,5,1980,0.9686888454011742,0.03131115459882583,-0.025802640094059835,-0.037262037264832064,-0.07037440576603726,0.1188983246097396,-0.5918872784543215,0.4657754658104008,0.7777777777777778,0.3,0.2594319902516926,0.9398389388915206,0.9,0.5631868877255817,True,low
ma_gap_60d,5,1980,0.9686888454011742,0.03131115459882583,-0.06595842739306064,-0.048730201997086095,-0.1254446665526693,0.08308150788042981,-1.5098987699309476,0.6091275249635761,0.9444444444444444,0.09999999999999999,0.03596916450417409,0.8094655242758058,0.9,0.5629690734811684,True,high
volatility_5d,5,2034,0.9951076320939335,0.004892367906066508,0.07270244704363658,0.05375551030766333,0.01747555044346536,0.08497274547058038,0.20566065444496928,0.6719438788457917,0.5389939877783025,0.6,0.0,0.6855028590649176,0.9,0.5579322471158897,True,medium
log_ret_3d,5,2036,0.9960861056751468,0.003913894324853229,-0.04691546309866772,-0.050190273216762546,-0.07796935709423024,0.05967405738811257,-1.3065871587569007,0.6273784152095319,0.8333333333333333,0.49999999999999994,0.0,0.5345911949685535,0.7,0.5533393107263814,True,medium
short_reversal_3d,5,2036,0.9960861056751468,0.003913894324853229,0.04988214599851745,0.050190273216762546,0.07796935709423025,0.0596740573881126,1.3065871587569002,0.6273784152095319,0.8333333333333333,0.49999999999999994,0.0,0.5345911949685535,0.7,0.5533393107263814,True,medium
amount_ratio_20d,5,2020,0.9882583170254403,0.011741682974559686,0.025358540117221745,0.039697818803197296,0.036764760350138065,0.09876192689999544,0.3722564099763404,0.49622273503996617,0.7611452988652293,0.7,0.017290777386994693,0.5103378719112456,0.9,0.5497232840842095,False,medium
realized_vol_10d,5,2029,0.9926614481409002,0.007338551859099818,0.07107386181589614,0.057256728887350436,0.01481110689484828,0.10513930214419133,0.14087126880998188,0.7157091110918804,0.47420460214331517,0.6,0.0,0.7975676735974891,0.7,0.5493104211159759,False,medium
ma_slope_5d,5,2031,0.9936399217221135,0.006360078277886538,-0.03239802208480689,-0.03671103391586243,-0.06648012688147004,0.07114541851197342,-0.9344259724929689,0.4588879239482804,0.8333333333333333,0.39999999999999997,0.12984639097696837,0.7145365168539325,0.9,0.5452636541830893,False,medium
dist_to_high_20d,5,2019,0.9877690802348337,0.012230919765166326,-0.019704122088601037,-0.028868476121394405,-0.07091567996623324,0.11455051301158649,-0.6190778033360733,0.36085595151743005,0.7777777777777778,0.6,0.1777701298193758,0.7090781633368384,0.9,0.5413856768173747,False,medium
realized_vol_5d,5,2034,0.9951076320939335,0.004892367906066508,0.07270244704363658,0.05375551030766333,0.01747555044346536,0.08497274547058038,0.20566065444496928,0.6719438788457917,0.5389939877783025,0.6,0.0,0.6855028590649176,0.7,0.5379322471158897,False,medium
ma_slope_20d,5,2001,0.9789628180039139,0.021037181996086063,-0.05795793479303331,-0.03624281224999524,-0.07318031575566235,0.09929622119690003,-0.7369899365107662,0.45303515312494047,0.8888888888888888,0.09999999999999999,0.11824013178659187,0.9101225601452564,0.9,0.5274365994977743,False,high
macd_dea,5,2039,0.9975538160469667,0.0024461839530333096,-0.035035974354987155,-0.027260913736708935,-0.09627164889584294,0.08669914753539675,-1.1104105591873095,0.3407614217088617,1.0,0.19999999999999998,0.0593643433672536,0.926530612244898,0.9,0.5237861392422363,False,high
ret_120d,5,1919,0.9388454011741683,0.06115459882583174,-0.052703650367384086,-0.026754964046236902,-0.16747306653009952,0.08392270292280771,-1.9955633064409475,0.33443705057796125,0.9444444444444444,0.3,0.0,0.8697421981004071,0.9,0.5111942238723179,False,medium
kdj_j,5,2031,0.9936399217221135,0.006360078277886538,-0.0287876991834256,-0.033742322230656235,-0.06267370796983619,0.09896382371359201,-0.6332991755777155,0.42177902788320293,0.8333333333333333,0.3,0.08765169164302755,0.6720607661822986,0.9,0.5085542053963115,False,medium
upper_shadow_pct,5,2039,0.9975538160469667,0.0024461839530333096,0.028358027425952316,0.037523629090633046,0.02148484852497652,0.0840423658795692,0.25564307120725066,0.46904536363291305,0.5334208489850285,0.6,0.397520459353923,0.40672904638662155,0.7,0.5076987524286302,False,low
ma_slope_120d,5,1901,0.9300391389432485,0.06996086105675148,-0.03760845444641035,-0.02270094495640341,-0.16415665928098297,0.09232413388631401,-1.7780471082796403,0.2837618119550426,0.9444444444444444,0.19999999999999998,0.06942105744512006,0.9665144596651446,0.9,0.5010820370586841,False,high
macd_dif,5,2039,0.9975538160469667,0.0024461839530333096,-0.03834644659518945,-0.021448276587570203,-0.09216175130593102,0.08711142800590621,-1.0579754392234553,0.26810345734462754,1.0,0.19999999999999998,0.0593643433672536,0.9039823008849557,0.9,0.4997339187969719,False,high
dist_to_high_250d,5,1789,0.8752446183953033,0.12475538160469668,-0.029052033102751475,-0.02263147524070794,-0.13356912790621756,0.11994479791706669,-1.1135883358490555,0.28289344050884924,0.9375,0.19999999999999998,0.1448113341859124,0.8449575871819038,0.9,0.498585490998732,False,high
trend_consistency_60d,5,1980,0.9686888454011742,0.03131115459882583,0.04790837844291262,0.04932244035498352,-0.05575848664024553,0.09896230136998764,-0.5634315882750424,0.616530504437294,0.5555555555555556,0.0,0.2819871213344808,0.8475010679196925,0.7,0.49311843743444067,False,high
log_ret_120d,5,1919,0.9388454011741683,0.06115459882583174,-0.039188548059756044,-0.026754964046236902,-0.16747306653009952,0.08392270292280771,-1.9955633064409475,0.33443705057796125,0.9444444444444444,0.3,0.0,0.8697421981004071,0.7,0.491194223872318,False,medium
