factor,regime,rank_ic,count
atr_pct_14d,high_vol_high,0.04928202355330292,1009
atr_pct_14d,strong_trend_low,0.0885548708307075,1010
atr_pct_14d,strong_trend_high,0.037408397065258565,1010
intraday_range,high_vol_low,0.08456671925232184,1010
intraday_range,high_vol_high,-0.0003868297213012709,1009
intraday_range,strong_trend_low,0.07297723904354804,1010
intraday_range,strong_trend_high,0.005810851433984334,1010
high_low_range_20d,high_vol_low,0.09122980156695569,1010
high_low_range_20d,high_vol_high,-0.00400234850066532,1009
high_low_range_20d,strong_trend_low,0.09010686583965374,1010
high_low_range_20d,strong_trend_high,0.0006899039643816493,1010
intraday_strength,high_vol_low,0.047377264115214174,1010
intraday_strength,high_vol_high,-0.04271638346501979,1009
intraday_strength,strong_trend_low,0.027497321526584257,1010
intraday_strength,strong_trend_high,-0.03597194418244728,1010
kbar_body,high_vol_low,0.009089335541758913,1010
kbar_body,high_vol_high,-0.043931145561426986,1009
kbar_body,strong_trend_low,-0.021899336052334982,1010
kbar_body,strong_trend_high,-0.03494819828912914,1010
upper_shadow_pct,high_vol_low,0.050887675839075906,1010
upper_shadow_pct,high_vol_high,0.02791442040597118,1009
upper_shadow_pct,strong_trend_low,0.03406714524238607,1010
upper_shadow_pct,strong_trend_high,0.041617511219595844,1010
lower_shadow_pct,high_vol_low,0.08140921640726294,1010
lower_shadow_pct,high_vol_high,0.030944236838777547,1009
lower_shadow_pct,strong_trend_low,0.0876681415136262,1010
lower_shadow_pct,strong_trend_high,0.022755856362029987,1010
gap_return,high_vol_low,0.031814485310235896,1010
gap_return,high_vol_high,0.01099983117329756,1009
gap_return,strong_trend_low,0.018259724086404278,1010
gap_return,strong_trend_high,0.016790040948477792,1010
gap_abs,high_vol_low,0.0732330674521506,1010
gap_abs,high_vol_high,-0.014410165098798559,1009
gap_abs,strong_trend_low,0.035536602129670164,1010
gap_abs,strong_trend_high,0.012497822113163507,1010
gap_risk_20d,high_vol_low,-0.08088703640905691,1010
gap_risk_20d,high_vol_high,-0.07699241096760308,1009
gap_risk_20d,strong_trend_low,0.00533215705157691,1010
gap_risk_20d,strong_trend_high,-0.11353972526953286,1010
limit_up_20d_count,high_vol_low,,1010
limit_up_20d_count,high_vol_high,0.0018405958128368427,1009
limit_up_20d_count,strong_trend_low,0.06430937398586144,1010
limit_up_20d_count,strong_trend_high,-0.010801088451937953,1010
